PDFファイル,ページ番号,画像ファイル,図番号,x0_diff,y0_diff,x1_diff,y1_diff
whitepaper2023_all.pdf,9,whitepaper2023_all_page9_img0.png,【第111-1-1】,5.87907,17.40674,236.10344,37.36753
whitepaper2023_all.pdf,9,whitepaper2023_all_page9_img1.png,【第111-1-1】,5.87907,50.39954,236.10344,70.34263
whitepaper2023_all.pdf,9,whitepaper2023_all_page9_img2.png,【第111-2-1】,8.26045,-2.63016,361.23766,236.73389
whitepaper2023_all.pdf,9,whitepaper2023_all_page9_img3.png,【第111-2-2】,4.52579,15.65502,238.98560,125.94102
whitepaper2023_all.pdf,9,whitepaper2023_all_page9_img4.png,【第111-2-2】,4.52579,138.97298,238.98560,187.57658
whitepaper2023_all.pdf,10,whitepaper2023_all_page10_img0.png,【第111-2-3】,0.77498,13.04947,233.62739,203.56425
whitepaper2023_all.pdf,11,whitepaper2023_all_page11_img0.png,【第111-3-1】,9.51254,17.89908,232.20398,120.04428
whitepaper2023_all.pdf,11,whitepaper2023_all_page11_img1.png,【第111-3-1】,9.51254,133.07629,232.20398,177.58368
whitepaper2023_all.pdf,11,whitepaper2023_all_page11_img2.png,【第111-3-2】,8.27132,18.04626,500.36876,156.79895
whitepaper2023_all.pdf,12,whitepaper2023_all_page12_img0.png,【第111-4-3】,6.20265,17.95074,112.04981,72.13986
whitepaper2023_all.pdf,12,whitepaper2023_all_page12_img1.png,【第111-4-3】,136.01028,17.95074,235.56489,72.76157
whitepaper2023_all.pdf,12,whitepaper2023_all_page12_img2.png,【第111-4-4】,6.88089,24.67630,236.52008,79.44352
whitepaper2023_all.pdf,12,whitepaper2023_all_page12_img3.png,【第111-4-5】,6.88089,-64.52650,236.52008,-49.17575
whitepaper2023_all.pdf,12,whitepaper2023_all_page12_img4.png,【第111-4-5】,5.35153,29.09280,236.51556,84.40683
whitepaper2023_all.pdf,12,whitepaper2023_all_page12_img5.png,【第111-4-1】,11.72812,18.07526,238.37012,112.57023
whitepaper2023_all.pdf,12,whitepaper2023_all_page12_img6.png,【第111-4-2】,11.72812,-84.39774,238.37012,-54.71017
whitepaper2023_all.pdf,12,whitepaper2023_all_page12_img7.png,【第111-4-2】,2.07236,26.73538,239.17475,32.56714
whitepaper2023_all.pdf,12,whitepaper2023_all_page12_img8.png,【第111-4-2】,2.07236,56.59720,239.17475,62.41083
whitepaper2023_all.pdf,13,whitepaper2023_all_page13_img0.png,【第111-6-1】,22.99460,27.33678,219.08862,118.46659
whitepaper2023_all.pdf,13,whitepaper2023_all_page13_img1.png,【第111-6-1】,4.35730,149.32690,128.84219,220.51450
whitepaper2023_all.pdf,13,whitepaper2023_all_page13_img2.png,【第111-6-1】,138.67795,183.37228,237.30792,220.68510
whitepaper2023_all.pdf,14,whitepaper2023_all_page14_img0.png,【第111-7-2】,4.02411,365.57391,238.02411,379.54392
whitepaper2023_all.pdf,14,whitepaper2023_all_page14_img1.png,【第111-7-2】,5.59015,28.63906,108.54413,89.82621
whitepaper2023_all.pdf,14,whitepaper2023_all_page14_img2.png,【第111-7-2】,133.35959,28.63911,236.61365,89.41367
whitepaper2023_all.pdf,14,whitepaper2023_all_page14_img3.png,【第111-7-1】,0.52361,15.46442,236.74601,78.23862
whitepaper2023_all.pdf,14,whitepaper2023_all_page14_img4.png,【第111-7-1】,0.52361,91.27065,236.74601,116.10233
whitepaper2023_all.pdf,18,whitepaper2023_all_page18_img0.png,【第112-4-1】,6.07693,15.67140,237.42561,167.12846
whitepaper2023_all.pdf,22,whitepaper2023_all_page22_img0.png,【第114-2-1】,0.76339,6.21101,476.40580,170.41422
whitepaper2023_all.pdf,22,whitepaper2023_all_page22_img1.png,【第114-2-1】,0.76339,183.44624,476.40580,258.95023
